x-axis,1,2,F1
second,Volt,Volt,Volt
+105.60000E-06,,,
+105.65000E-06,+14.95553319154E+00,+15.07001780636E+00,+114.43041295E-03
+105.70000E-06,+14.95634039817E+00,+15.07157819613E+00,+115.18416633E-03
+105.75000E-06,+14.95750176422E+00,+15.07312025018E+00,+115.56476752E-03
+105.80000E-06,+14.95869524361E+00,+15.07364455229E+00,+114.89590789E-03
+105.85000E-06,+14.95968591749E+00,+15.07442558689E+00,+114.68733390E-03
+105.90000E-06,+14.96062635941E+00,+15.07514193502E+00,+114.46238925E-03
+105.95000E-06,+14.96177946026E+00,+15.07412423131E+00,+112.29202789E-03
+106.00000E-06,+14.96253635050E+00,+15.07491058384E+00,+112.32169766E-03
+106.05000E-06,+14.96358614342E+00,+15.07587520630E+00,+112.23724385E-03
+106.10000E-06,+14.96495253034E+00,+15.07689670152E+00,+111.89179103E-03
+106.15000E-06,+14.96603390592E+00,+15.07880016563E+00,+112.71473300E-03
+106.20000E-06,+14.96714982728E+00,+15.08022707889E+00,+113.02403197E-03
+106.25000E-06,+14.96894650702E+00,+15.08142453070E+00,+112.42584819E-03
+106.30000E-06,+14.96995292060E+00,+15.08215617230E+00,+112.15164979E-03
+106.35000E-06,+14.97065449538E+00,+15.08189328820E+00,+111.18742044E-03
+106.40000E-06,+14.97171819857E+00,+15.08243636698E+00,+110.66589972E-03
+106.45000E-06,+14.97283568403E+00,+15.08287078373E+00,+109.98374507E-03
+106.50000E-06,+14.97337264588E+00,+15.08274686818E+00,+109.32203528E-03
+106.55000E-06,+14.97530317750E+00,+15.08535096484E+00,+109.99526748E-03
+106.60000E-06,+14.97585945348E+00,+15.08636582077E+00,+110.45543394E-03
+106.65000E-06,+14.97731334155E+00,+15.08784977565E+00,+110.48493648E-03
+106.70000E-06,+14.97871733008E+00,+15.09026008806E+00,+111.49001558E-03
+106.75000E-06,+14.97932715918E+00,+15.08911679616E+00,+109.73791810E-03
+106.80000E-06,+14.98100624683E+00,+15.09087884418E+00,+109.82169572E-03
+106.85000E-06,+14.98148522484E+00,+15.09070305042E+00,+109.16671530E-03
+106.90000E-06,+14.98171159579E+00,+15.09023755981E+00,+108.47457178E-03
+106.95000E-06,+14.98360215592E+00,+15.09070049811E+00,+107.04813899E-03
+107.00000E-06,+14.98430558426E+00,+15.09115863936E+00,+106.80283069E-03
+107.05000E-06,+14.98553953866E+00,+15.09366440304E+00,+108.07399085E-03
+107.10000E-06,+14.98674884217E+00,+15.09597106982E+00,+109.17111787E-03
+107.15000E-06,+14.98844907337E+00,+15.09669703922E+00,+108.19640733E-03
+107.20000E-06,+14.98945946088E+00,+15.09947872968E+00,+109.96774157E-03
+107.25000E-06,+14.99105191423E+00,+15.09929495262E+00,+108.19162073E-03
+107.30000E-06,+14.99172185284E+00,+15.09935494001E+00,+107.58152302E-03
+107.35000E-06,+14.99274683807E+00,+15.09872497667E+00,+105.92817059E-03
+107.40000E-06,+14.99338707167E+00,+15.09836270354E+00,+104.92647298E-03
+107.45000E-06,+14.99431873506E+00,+15.09910074776E+00,+104.73220933E-03
+107.50000E-06,+14.99522009571E+00,+15.10106129644E+00,+105.79098531E-03
+107.55000E-06,+14.99699072251E+00,+15.10530600325E+00,+108.26408842E-03
+107.60000E-06,+14.99801156496E+00,+15.10719957926E+00,+109.13629645E-03
+107.65000E-06,+14.99856597684E+00,+15.10599127301E+00,+107.37510788E-03
+107.70000E-06,+14.99977017273E+00,+15.10601815359E+00,+106.19851944E-03
+107.75000E-06,+15.00129993563E+00,+15.10602245466E+00,+104.67362542E-03
+107.80000E-06,+15.00200879722E+00,+15.10628627345E+00,+104.22784420E-03
+107.85000E-06,+15.00305278300E+00,+15.10673411730E+00,+103.63166753E-03
+107.90000E-06,+15.00369059622E+00,+15.10508455449E+00,+101.34546834E-03
+107.95000E-06,+15.00467404888E+00,+15.10734504691E+00,+102.62250789E-03
+108.00000E-06,+15.00611785437E+00,+15.11086553838E+00,+104.69850039E-03
+108.05000E-06,+15.00712760117E+00,+15.11282739412E+00,+105.64947715E-03
+108.10000E-06,+15.00909640979E+00,+15.11691675046E+00,+107.77041588E-03
+108.15000E-06,+15.00993146108E+00,+15.11374075043E+00,+103.75959074E-03
+108.20000E-06,+15.01115299167E+00,+15.11501690149E+00,+103.81443068E-03
+108.25000E-06,+15.01196566094E+00,+15.11455628483E+00,+102.54215606E-03
+108.30000E-06,+15.01290838908E+00,+15.11303099335E+00,+100.07561965E-03
+108.35000E-06,+15.01369078802E+00,+15.11463870700E+00,+100.90038193E-03
+108.40000E-06,+15.01500683746E+00,+15.11565959920E+00,+100.60496381E-03
+108.45000E-06,+15.01579064899E+00,+15.11867724042E+00,+102.83768878E-03
+108.50000E-06,+15.01832083819E+00,+15.12202444293E+00,+103.65430195E-03
+108.55000E-06,+15.01924968319E+00,+15.12285321824E+00,+103.55401925E-03
+108.60000E-06,+15.02054248979E+00,+15.12437085130E+00,+103.77997829E-03
+108.65000E-06,+15.02146367562E+00,+15.12432172439E+00,+102.80879047E-03
+108.70000E-06,+15.02238134808E+00,+15.12247385464E+00,+100.04398380E-03
+108.75000E-06,+15.02379645714E+00,+15.12477768494E+00,+100.93233608E-03
+108.80000E-06,+15.02326487352E+00,+15.12261344732E+00,+99.30074981E-03
+108.85000E-06,+15.02178563353E+00,+15.12341050957E+00,+101.57703161E-03
+108.90000E-06,+15.01523439110E+00,+15.11592170691E+00,+100.63966124E-03
+108.95000E-06,+14.99930614144E+00,+15.10015936820E+00,+100.80506514E-03
+109.00000E-06,+14.98478273133E+00,+15.08455867629E+00,+99.72911423E-03
+109.05000E-06,+14.94525481765E+00,+15.04546379014E+00,+100.16112547E-03
+109.10000E-06,+14.91216473027E+00,+15.00895346189E+00,+96.74198549E-03
+109.15000E-06,+14.89003533775E+00,+14.98170060930E+00,+91.62157188E-03
+109.20000E-06,+14.87715353429E+00,+14.96664688644E+00,+89.44916557E-03
+109.25000E-06,+14.88797658724E+00,+14.97610044313E+00,+88.08093734E-03
