Circuit: * C:\Fran\ITBA\Electronica Potencia\EPOT-TPs\TP1\boostSch.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 1.00039e-005 to 1.00039e-005
Heightened Def Con from 2.503e-005 to 2.5033e-005
Heightened Def Con from 3.50039e-005 to 3.50042e-005
Heightened Def Con from 5.93752e-005 to 5.93782e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 ++to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 +to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00038e-005 to 6.00038e-005
Heightened Def Con from 6.00039e-005 ++to 6.00039e-005
Heightened Def Con from 6.00039e-005 +to 6.00039e-005
Heightened Def Con from 6.00039e-005 to 6.0004e-005
Heightened Def Con from 6.0004e-005 to 6.0006e-005
Heightened Def Con from 6.59977e-005 to 6.60017e-005
Heightened Def Con from 8.43751e-005 to 8.43753e-005
Heightened Def Con from 8.50005e-005 to 8.5002e-005
Heightened Def Con from 8.50038e-005 to 8.50038e-005
Heightened Def Con from 8.50038e-005 +to 8.50038e-005
Heightened Def Con from 8.50038e-005 to 8.50038e-005
Heightened Def Con from 8.50038e-005 to 8.50038e-005
Heightened Def Con from 8.50038e-005 to 8.50038e-005
Heightened Def Con from 8.50038e-005 to 8.50038e-005
Heightened Def Con from 8.50038e-005 to 8.50038e-005
Heightened Def Con from 8.50039e-005 to 8.50039e-005
Heightened Def Con from 8.50039e-005 to 8.5004e-005
Heightened Def Con from 8.5004e-005 to 8.5006e-005
Heightened Def Con from 0.000110004 to 0.000110005
Heightened Def Con from 0.000135004 to 0.000135009
Heightened Def Con from 0.000185004 to 0.000185009
Heightened Def Con from 0.0002 to 0.000200004
Heightened Def Con from 0.000310004 to 0.000310005
Heightened Def Con from 0.000335004 to 0.000335005
Heightened Def Con from 0.000385004 to 0.000385009
Heightened Def Con from 0.000410004 to 0.000410004
Heightened Def Con from 0.000485004 to 0.000485007
Heightened Def Con from 0.000510004 to 0.000510009
Heightened Def Con from 0.000535004 to 0.000535008
Heightened Def Con from 0.000610004 to 0.000610005
Heightened Def Con from 0.000635004 to 0.000635005
Heightened Def Con from 0.000810004 to 0.000810009
Heightened Def Con from 0.000835004 to 0.000835005
Heightened Def Con from 0.000860004 to 0.000860005
Heightened Def Con from 0.000885004 to 0.000885005
Heightened Def Con from 0.000910004 to 0.000910009
Heightened Def Con from 0.000935004 to 0.000935006
Heightened Def Con from 0.000960004 to 0.000960005
Heightened Def Con from 0.000985004 to 0.000985005
Heightened Def Con from 0.00101 to 0.00101
Heightened Def Con from 0.00101 to 0.00101001
Heightened Def Con from 0.001035 to 0.00103501
Heightened Def Con from 0.00106 to 0.00106001
Heightened Def Con from 0.001085 to 0.00108501
Heightened Def Con from 0.00111 to 0.00111
Heightened Def Con from 0.00111 to 0.00111
Heightened Def Con from 0.00111 to 0.00111
Heightened Def Con from 0.001135 to 0.00113501
Heightened Def Con from 0.00116 to 0.00116
Heightened Def Con from 0.00116 to 0.00116
Heightened Def Con from 0.00116 to 0.00116001
Heightened Def Con from 0.001185 to 0.00118501
Heightened Def Con from 0.00121 to 0.00121001
Heightened Def Con from 0.001235 to 0.00123501
Heightened Def Con from 0.00126 to 0.00126001
Heightened Def Con from 0.001285 to 0.00128501
Heightened Def Con from 0.00129094 to 0.00129095
Heightened Def Con from 0.00131 to 0.00131001
Heightened Def Con from 0.001335 to 0.00133501
Heightened Def Con from 0.001435 to 0.00143501
Heightened Def Con from 0.00146 to 0.00146001
Heightened Def Con from 0.001485 to 0.001485
Heightened Def Con from 0.001485 to 0.001485
Heightened Def Con from 0.00151 to 0.00151
Heightened Def Con from 0.00151 to 0.00151001
Heightened Def Con from 0.00151594 to 0.00151595
Heightened Def Con from 0.001535 to 0.00153501
Heightened Def Con from 0.00156 to 0.00156001
Heightened Def Con from 0.001585 to 0.001585
Heightened Def Con from 0.001585 to 0.00158501
Heightened Def Con from 0.00161 to 0.00161001
Heightened Def Con from 0.001635 to 0.00163501
Heightened Def Con from 0.00166 to 0.00166001
Heightened Def Con from 0.001685 to 0.00168501
Heightened Def Con from 0.00171 to 0.00171
Heightened Def Con from 0.00171 to 0.00171001
Heightened Def Con from 0.001735 to 0.00173501
Heightened Def Con from 0.00176 to 0.00176001
Heightened Def Con from 0.00177503 to 0.00177503
Heightened Def Con from 0.001785 to 0.00178501
Heightened Def Con from 0.00181 to 0.00181001
Heightened Def Con from 0.001835 to 0.00183501
Heightened Def Con from 0.001885 to 0.00188501
Heightened Def Con from 0.001935 to 0.00193501
Heightened Def Con from 0.00196 to 0.00196001
Heightened Def Con from 0.001985 to 0.00198501
Heightened Def Con from 0.00201 to 0.00201001
Heightened Def Con from 0.002035 to 0.00203501
Heightened Def Con from 0.00206 to 0.00206001
Heightened Def Con from 0.00211 to 0.00211001
Heightened Def Con from 0.002135 to 0.00213501
Heightened Def Con from 0.002185 to 0.002185
Heightened Def Con from 0.002185 to 0.00218501
Heightened Def Con from 0.002235 to 0.002235
Heightened Def Con from 0.002235 to 0.00223501
Heightened Def Con from 0.00226 to 0.00226001
Heightened Def Con from 0.00231 to 0.00231001
Heightened Def Con from 0.002335 to 0.00233501
Heightened Def Con from 0.002385 to 0.00238501
Heightened Def Con from 0.00241 to 0.00241001
Heightened Def Con from 0.00246 to 0.00246001
Heightened Def Con from 0.002485 to 0.00248501
Heightened Def Con from 0.00251 to 0.00251001
Heightened Def Con from 0.002535 to 0.002535
Heightened Def Con from 0.002535 to 0.00253501
Heightened Def Con from 0.00256 to 0.00256001
Heightened Def Con from 0.002585 to 0.00258501
Heightened Def Con from 0.00261 to 0.00261001
Heightened Def Con from 0.002635 to 0.00263501
Heightened Def Con from 0.00265 to 0.00265
Heightened Def Con from 0.00266 to 0.00266001
Heightened Def Con from 0.002685 to 0.002685
Heightened Def Con from 0.00271 to 0.00271
Heightened Def Con from 0.00271 to 0.00271001
Heightened Def Con from 0.002735 to 0.00273501
Heightened Def Con from 0.00274094 to 0.00274095
Heightened Def Con from 0.00276 to 0.00276001
Heightened Def Con from 0.00281 to 0.00281001
Heightened Def Con from 0.002835 to 0.00283501
Heightened Def Con from 0.00286 to 0.00286001
Heightened Def Con from 0.002885 to 0.00288501
Heightened Def Con from 0.00291 to 0.00291001
Heightened Def Con from 0.002935 to 0.00293501
Heightened Def Con from 0.00296 to 0.00296001
Heightened Def Con from 0.002985 to 0.00298501

Date: Tue Apr 04 16:14:53 2023
Total elapsed time: 5.616 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 482750
traniter = 482709
tranpoints = 165049
accept = 122361
rejected = 42836
matrix size = 136
fillins = 71
solver = Normal
Matrix Compiler1: 11.69 KB object code size  1.8/1.0/[0.5]
Matrix Compiler2: 11.96 KB object code size  0.7/1.3/[0.4]

